Property,Value
multicast_supported,0
multiprocessor_count,20
num_l2s_per_fbp,8
num_schedulers_per_multiprocessor,4
num_tex_per_multiprocessor,1
numa_config,0
pageable_memory_access,0
pageable_memory_access_uses_host_page_tables,0
pci_bus_id,1
pci_device_id,0
pci_domain_id,0
ram_location,1
ram_type,17
reserved_shared_memory_per_block,1024
sass_level,8
single_to_double_precision_perf_ratio,32
sparse_cuda_array_supported,1
stream_priorities_supported,1
surface_alignment,512
tcc_driver,0
tensor_map_access_supported,0
texture_alignment,512
texture_pitch_alignment,32
total_constant_memory,65536
total_memory,8589475840
unified_addressing,1
unified_function_pointers,0
virtual_address_management_supported,1
warp_size,32
